pop1,pop2
1999.4786729783739,2503.9529210250994
2009.7854841629933,2475.9437429927084
2000.3297210425505,2506.0505720703245
1994.7636469253475,2485.9879191802734
2005.1866763172266,2515.611384124565
1986.945265569664,2491.1601341508854
2015.6751481587596,2495.752952262986
1991.9956689459152,2498.068775945933
2003.0664874514962,2498.0254239406318
2006.3685957855892,2493.144600286827
1989.1408945780288,2500.4661515340586
1992.938038436259,2512.0268554840677
1995.120200098362,2491.668347988788
2007.3333716066165,2511.420355683048
2001.7326512424538,2494.509668969094
1985.9958941795628,2519.319164249571
1991.4379921364161,2513.0825039098654
2022.4117929437793,2508.2765120232525
1996.547597821967,2501.5050182228683
1976.5252586518704,2491.225554150641
2008.3736903018357,2477.9311793406373
1978.0048763356112,2485.5481139306094
2009.1634972873962,2501.476938851849
2009.9145559201245,2492.894793298366
1995.5962474178202,2493.6745233784072
2004.9250624791487,2523.8612268998418
2006.922911865964,2507.807283250963
2006.6892274773577,2498.545072093594
2026.21631324466,2486.678212804966
1999.061524620901,2502.070465047749
1986.8370260810248,2498.394939264158
1986.6583022500809,2513.5632609617987
2005.905763276119,2489.671973569122
1996.2079304860024,2491.446429586325
1995.6096930722651,2509.018250966029
2005.0163829054568,2503.8655962454695
2015.251901265808,2508.029614363574
2003.7023527953277,2511.0036546979154
1987.5573933037517,2499.2266658671024
1991.9199717700747,2516.0576236816123
1998.9710095875014,2507.340971884892
1989.8732886387315,2495.91740767461
1991.6522613125255,2496.5464605308384
1970.3908958461034,2511.205152677506
2000.2680147240683,2504.021397283561
2002.221110445867,2480.1854936722057
1983.4725830180691,2507.6574299115346
2001.9978205730697,2497.381396765077
2010.9005958733167,2501.3295998916756
2009.7418882162788,2483.142792235354
2003.146703463507,2485.096886307798
1986.4301062307736,2508.934643380684
2014.031306500435,2489.0662380689973
1991.873260721338,2506.645544278866
1965.2582172257828,2505.5322303144862
1994.7548119548067,2499.981654965764
1998.6539710276363,2508.1450269491497
2003.966553961191,2509.8847762185665
2024.084489866018,2511.880137509467
2012.3885710287555,2498.7424033585667
2009.4260264393754,2479.4359143509123
2015.9339480567023,2510.875654016342
1990.4078568383147,2491.6147983396286
2003.8841276743901,2504.2956673288145
1994.7419538952918,2500.722218973431
2013.2343986603842,2500.857072676855
2003.0943023643924,2508.5435924221315
2005.0924488559262,2518.0996452555196
1994.4175598284837,2507.4999812471715
1996.9035726179995,2498.114023443902
1988.2200158993621,2500.609350668592
1994.3939200154148,2489.5625933994856
2005.2331740566603,2488.662432368043
2001.11285379467,2489.1656809351302
1989.6281789123261,2507.281671053139
2021.578396396712,2488.0671990080145
1997.4750006909032,2492.128762744578
1993.3559784567442,2499.2533638499135
1988.9417322551744,2511.1371316257896
1999.8393741808575,2491.3513965338907
2009.4689804470788,2509.559032948825
1981.4031773167,2516.5222556244153
2005.529583971239,2494.528544489159
1998.846833675331,2488.8244849564785
2015.6699543860962,2495.0789032282873
2014.6041740726444,2499.056856302966
1984.1078920286423,2499.409933708578
2002.7091432947163,2496.1663965662046
1967.0282407176483,2503.295999656938
1990.8716174675749,2513.1812368028395
2006.531092151541,2491.7329601928636
1976.506033819854,2528.875537676381
